year,school_level,priority_rank,region,students_per_teacher,national_avg,priority_score,recommendation
2019,각종학교,1,경북,14.21,7.04,101.9,최우선 배치 지원 (과밀 심각)
2019,각종학교,2,광주,12.53,7.04,78.08,최우선 배치 지원 (과밀 심각)
2019,각종학교,3,경기,12.05,7.04,71.23,최우선 배치 지원 (과밀 심각)
2019,각종학교,4,충북,7.46,7.04,5.98,추가 배치 권고
2019,각종학교,5,서울,7.39,7.04,4.95,추가 배치 권고
2019,각종학교,6,강원,5.43,7.04,-22.86,교원 재배치 검토 (상대적 여유)
2019,각종학교,7,전남,4.61,7.04,-34.51,교원 재배치 검토 (상대적 여유)
2019,각종학교,8,경남,3.97,7.04,-43.65,교원 재배치 검토 (상대적 여유)
2019,각종학교,9,대전,2.62,7.04,-62.8,교원 재배치 검토 (상대적 여유)
2019,각종학교,10,울산,1.59,7.04,-77.43,교원 재배치 검토 (상대적 여유)
2019,각종학교,11,대구,0.92,7.04,-86.94,교원 재배치 검토 (상대적 여유)
2019,각종학교,12,인천,0.5,7.04,-92.89,교원 재배치 검토 (상대적 여유)
2019,각종학교,13,부산,0.0,7.04,-100.0,교원 재배치 검토 (상대적 여유)
2019,각종학교,13,충남,0.0,7.04,-100.0,교원 재배치 검토 (상대적 여유)
2019,고등공민학교,1,경기,7.0,12.8,-45.31,교원 재배치 검토 (상대적 여유)
2019,고등공민학교,2,경남,0.0,12.8,-100.0,교원 재배치 검토 (상대적 여유)
2019,고등공민학교,2,전북,0.0,12.8,-100.0,교원 재배치 검토 (상대적 여유)
2019,고등기술학교,1,인천,60.0,7.67,682.21,최우선 배치 지원 (과밀 심각)
2019,고등기술학교,2,광주,21.0,7.67,173.77,최우선 배치 지원 (과밀 심각)
2019,고등기술학교,3,경남,8.83,7.67,15.16,최우선 배치 지원 (과밀 심각)
2019,고등기술학교,4,충남,8.2,7.67,6.9,추가 배치 권고
2019,고등기술학교,5,부산,4.21,7.67,-45.06,교원 재배치 검토 (상대적 여유)
2019,고등기술학교,6,서울,3.29,7.67,-57.16,교원 재배치 검토 (상대적 여유)
2019,고등학교,1,제주,13.3,11.46,16.0,최우선 배치 지원 (과밀 심각)
2019,고등학교,2,광주,12.77,11.46,11.41,최우선 배치 지원 (과밀 심각)
2019,고등학교,3,충북,12.08,11.46,5.39,추가 배치 권고
2019,고등학교,4,서울,11.86,11.46,3.47,추가 배치 권고
2019,고등학교,5,경기,11.82,11.46,3.13,추가 배치 권고
2019,고등학교,6,충남,11.5,11.46,0.32,적정 수준 유지
2019,고등학교,7,대구,11.45,11.46,-0.07,적정 수준 유지
2019,고등학교,8,전북,11.33,11.46,-1.17,적정 수준 유지
2019,고등학교,9,대전,11.29,11.46,-1.52,적정 수준 유지
