year,region,school_level,student_count,teacher_count,students_per_teacher,national_avg,gap_from_avg,priority_score
2016,강원,고등학교,53516,4581,11.68,12.94,-1.26,-9.72
2016,경기,고등학교,440319,33411,13.18,12.94,0.24,1.84
2016,경남,고등학교,117575,9191,12.79,12.94,-0.15,-1.14
2016,경북,고등학교,88456,7237,12.22,12.94,-0.72,-5.54
2016,광주,고등학교,62357,4254,14.66,12.94,1.72,13.28
2016,대구,고등학교,91904,6918,13.28,12.94,0.34,2.66
2016,대전,고등학교,57087,4276,13.35,12.94,0.41,3.17
2016,부산,고등학교,105793,8586,12.32,12.94,-0.62,-4.78
2016,서울,고등학교,299556,22598,13.26,12.94,0.32,2.44
2016,세종,고등학교,6463,685,9.44,12.94,-3.51,-27.09
2016,울산,고등학교,44558,3423,13.02,12.94,0.08,0.6
2016,인천,고등학교,96539,7760,12.44,12.94,-0.5,-3.86
2016,전남,고등학교,66973,5765,11.62,12.94,-1.32,-10.22
2016,전북,고등학교,70449,5550,12.69,12.94,-0.25,-1.91
2016,제주,고등학교,22936,1548,14.82,12.94,1.88,14.5
2016,충남,고등학교,73039,5589,13.07,12.94,0.13,0.99
2016,충북,고등학교,54937,4055,13.55,12.94,0.61,4.7
2016,강원,중학교,43999,3857,11.41,13.31,-1.9,-14.28
2016,경기,중학교,381082,25631,14.87,13.31,1.56,11.73
2016,경남,중학교,99401,7556,13.16,13.31,-0.15,-1.14
2016,경북,중학교,70468,6472,10.89,13.31,-2.42,-18.18
2016,광주,중학교,51511,3741,13.77,13.31,0.46,3.47
2016,대구,중학교,73925,5577,13.26,13.31,-0.05,-0.39
2016,대전,중학교,47646,3536,13.47,13.31,0.17,1.26
2016,부산,중학교,86650,6453,13.43,13.31,0.12,0.91
2016,서울,중학교,239912,17897,13.41,13.31,0.1,0.73
2016,세종,중학교,7444,712,10.46,13.31,-2.85,-21.43
2016,울산,중학교,35343,2730,12.95,13.31,-0.36,-2.71
2016,인천,중학교,82893,5658,14.65,13.31,1.34,10.09
2016,전남,중학교,53181,4952,10.74,13.31,-2.57,-19.3
2016,전북,중학교,56923,4668,12.19,13.31,-1.11,-8.36
2016,제주,중학교,20629,1461,14.12,13.31,0.81,6.1
2016,충남,중학교,60196,4873,12.35,13.31,-0.95,-7.17
2016,충북,중학교,46287,3751,12.34,13.31,-0.97,-7.27
2016,강원,초등학교,76772,6558,11.71,14.57,-2.86,-19.65
2016,경기,초등학교,727380,43308,16.8,14.57,2.23,15.28
2016,경남,초등학교,185325,13425,13.8,14.57,-0.77,-5.25
2016,경북,초등학교,127825,10016,12.76,14.57,-1.81,-12.41
2016,광주,초등학교,89095,6027,14.78,14.57,0.21,1.46
2016,대구,초등학교,125541,8873,14.15,14.57,-0.42,-2.89
2016,대전,초등학교,85939,6005,14.31,14.57,-0.26,-1.77
2016,부산,초등학교,151207,10250,14.75,14.57,0.18,1.25
2016,서울,초등학교,436121,29448,14.81,14.57,0.24,1.65
2016,세종,초등학교,17910,1279,14.0,14.57,-0.57,-3.89
2016,울산,초등학교,65629,4235,15.5,14.57,0.93,6.36
2016,인천,초등학교,155590,9967,15.61,14.57,1.04,7.14
2016,전남,초등학교,92981,7968,11.67,14.57,-2.9,-19.91
2016,전북,초등학교,97895,8002,12.23,14.57,-2.34,-16.03
2016,제주,초등학교,38272,2676,14.3,14.57,-0.27,-1.84
2016,충남,초등학교,115309,8829,13.06,14.57,-1.51,-10.36
2016,충북,초등학교,84052,6586,12.76,14.57,-1.81,-12.41
2017,강원,고등학교,50599,4576,11.06,12.39,-1.33,-10.76
2017,경기,고등학교,422839,33393,12.66,12.39,0.27,2.19
2017,경남,고등학교,111618,9171,12.17,12.39,-0.22,-1.78
2017,경북,고등학교,84926,7238,11.73,12.39,-0.66,-5.31
2017,광주,고등학교,58976,4173,14.13,12.39,1.74,14.06
2017,대구,고등학교,86664,6884,12.59,12.39,0.2,1.6
2017,대전,고등학교,53770,4300,12.5,12.39,0.11,0.92
2017,부산,고등학교,99662,8403,11.86,12.39,-0.53,-4.28
2017,서울,고등학교,282968,22212,12.74,12.39,0.35,2.81
2017,세종,고등학교,7639,850,8.99,12.39,-3.4,-27.47
2017,울산,고등학교,41930,3410,12.3,12.39,-0.09,-0.76
2017,인천,고등학교,92195,7764,11.87,12.39,-0.52,-4.16
2017,전남,고등학교,63631,5715,11.13,12.39,-1.26,-10.14
2017,전북,고등학교,67149,5513,12.18,12.39,-0.21,-1.7
2017,제주,고등학교,22422,1538,14.58,12.39,2.19,17.66
2017,충남,고등학교,70405,5585,12.61,12.39,0.22,1.74
2017,충북,고등학교,52306,4029,12.98,12.39,0.59,4.78
2017,강원,중학교,41274,3798,10.87,12.66,-1.79,-14.14
2017,경기,중학교,366856,25909,14.16,12.66,1.5,11.86
2017,경남,중학교,93843,7507,12.5,12.66,-0.16,-1.24
2017,경북,중학교,65906,6417,10.27,12.66,-2.39,-18.86
2017,광주,중학교,47900,3773,12.7,12.66,0.04,0.3
2017,대구,중학교,68893,5552,12.41,12.66,-0.25,-1.97
